year,portfolio,n_funds,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p
2007,Q5-Q1,8,251,3.47588445004779e-05,0.00875922881412043,0.2808629399297841,0.7788155265748112
2008,Q5-Q1,8,253,0.0003454510791343756,0.08705367194186264,1.331570894796466,0.18300123429823834
2009,Q5-Q1,8,252,-0.000837104043756853,-0.21095021902672698,-3.9304254828765823,8.479567135467554e-05
2010,Q5-Q1,8,252,0.0001709858234591129,0.04308842751169645,1.1937675566220898,0.23256890588175727
2011,Q5-Q1,8,252,0.00032947381088561093,0.08302740034317395,3.2145538846519885,0.0013064739135622723
2012,Q5-Q1,8,250,-3.9198617262511185e-05,-0.009878051550152818,-0.2600047006902355,0.7948601476425997
2013,Q5-Q1,9,252,0.0001624560399069233,0.040938922056544674,1.730486957765789,0.08354330943787615
2014,Q5-Q1,9,252,0.0001689808796391899,0.042583181669075855,1.5351680571200452,0.12474255245652621
2015,Q5-Q1,9,252,-1.9208891624892438e-05,-0.004840640689472895,-0.19139367389547726,0.8482171759557602
2016,Q5-Q1,9,252,-0.00010664892414538116,-0.026875528884636055,-0.5883525900888522,0.5562956530307583
2017,Q5-Q1,9,251,4.013642659473232e-06,0.0010114379501872544,0.05171854365570024,0.9587529613122507
2018,Q5-Q1,9,251,-0.00010542603819309278,-0.02656736162465938,-0.6600299279713321,0.5092346239269114
2019,Q5-Q1,9,252,-5.190179081690142e-05,-0.013079251285859158,-0.4027760799286747,0.6871129595408799
2020,Q5-Q1,9,253,0.0001749858884310797,0.04409644388463208,0.48733729160025235,0.6260193246649133
2021,Q5-Q1,9,252,0.0002459308877418978,0.06197458371095824,0.9295412856517351,0.3526086395921465
2022,Q5-Q1,9,251,-0.000197644047768046,-0.04980630003754759,-0.804771154199789,0.42095175039209365
2023,Q5-Q1,9,250,-0.0003742901633910496,-0.0943211211745445,-1.6229654308738013,0.10459679490794607
2024,Q5-Q1,10,252,-3.837610886024234e-05,-0.009670779432781069,-0.13198901801734994,0.8949929781034383
2025,Q5-Q1,10,250,-6.715080614090955e-05,-0.016922003147509208,-0.43702004914644493,0.6620968079967379
